id_entrada,id_camara,latitud,longitud,nivel_ocupacion,anio,mes,dia,hora,minuto,carretera_numero,carretera_letra_A,carretera_letra_M,carretera_letra_N,franja_horaria_mañana,franja_horaria_noche,franja_horaria_tarde
3858,169708,1.0,0.06946631009468351,2,0.0,0.9,0.9333333333333333,0.06666666666666665,0.3898305084745763,1.0,0,1,0,1,0,0
47,1004,0.6857702557204703,0.462843445811421,1,0.0,0.9,0.9333333333333333,0.1333333333333333,0.864406779661017,0.6666666666666666,0,1,0,1,0,0
3006,1676,0.3386080077479079,0.48757070542736525,1,0.0,1.0,0.16666666666666669,0.1333333333333333,0.03389830508474576,0.3333333333333333,1,0,0,1,0,0
3423,1690,0.0,0.5597406010185111,0,0.0,1.0,0.4666666666666667,0.19999999999999996,0.15254237288135594,0.3333333333333333,1,0,0,1,0,0
7709,668,0.6306287137098465,0.8009725396088738,1,0.0,0.9,0.9999999999999999,0.19999999999999996,0.6271186440677966,0.1111111111111111,1,0,0,1,0,0
9429,726,0.2948577487286883,0.9320529309333123,1,0.0,0.9,0.9333333333333333,0.19999999999999996,0.15254237288135594,0.2222222222222222,1,0,0,1,0,0
13959,873,0.6474256757377006,0.2889939469481293,2,0.0,1.0,0.3333333333333333,0.6666666666666666,0.8135593220338984,0.5555555555555556,1,0,0,0,0,1
1645,1158,0.6180984414900195,0.41542960468058965,0,0.0,1.0,0.26666666666666666,0.5333333333333333,0.3389830508474576,0.5555555555555556,1,0,0,0,0,1
13707,873,0.6474256757377006,0.2889939469481293,1,0.0,0.9,0.9,0.7999999999999999,0.288135593220339,0.5555555555555556,1,0,0,0,1,0
4930,174942,0.6299834255511314,0.3341304914741601,1,0.0,0.9,0.9999999999999999,0.19999999999999996,0.3220338983050847,0.5555555555555556,1,0,0,1,0,0
880,1097,0.7301518958260118,1.0,1,0.0,1.0,0.16666666666666669,0.33333333333333337,0.5254237288135594,0.1111111111111111,1,0,0,0,0,1
12194,826,0.6180375146059092,0.3329557369408187,0,0.0,1.0,0.4666666666666667,0.19999999999999996,0.7457627118644068,0.6666666666666666,0,1,0,1,0,0
11667,799,0.4740559392516843,0.31156159323626653,1,0.0,1.0,0.1,0.1333333333333333,0.6271186440677966,0.4444444444444444,1,0,0,1,0,0
10321,771,0.35936848540578836,0.40862776166031534,1,0.0,1.0,0.26666666666666666,0.19999999999999996,0.2542372881355932,0.7777777777777777,1,0,0,1,0,0
14846,926,0.4875471901733732,0.48148372571733944,1,0.0,1.0,0.03333333333333333,0.6,0.7457627118644068,0.6666666666666666,0,1,0,0,0,1
13433,872,0.6400869136395926,0.31188084042385533,0,0.0,1.0,0.0,0.5333333333333333,0.4576271186440678,0.5555555555555556,1,0,0,0,0,1
11125,791,0.5094577827175755,0.36292783974442244,1,0.0,1.0,0.5,0.2666666666666666,0.11864406779661017,0.4444444444444444,1,0,0,1,0,0
9138,705,0.43185910021798435,0.7027245306158685,1,0.0,1.0,0.0,0.4,0.9661016949152542,0.2222222222222222,1,0,0,0,0,1
3464,1690,0.0,0.5597406010185111,0,1.0,0.1,0.4,0.5333333333333333,0.8813559322033898,0.3333333333333333,1,0,0,0,0,1
5897,174945,0.6658280702017905,0.26461673248375206,0,0.0,1.0,0.5,0.1333333333333333,0.03389830508474576,0.5555555555555556,1,0,0,1,0,0
9109,705,0.43185910021798435,0.7027245306158685,1,0.0,0.9,0.9999999999999999,0.06666666666666665,0.423728813559322,0.2222222222222222,1,0,0,1,0,0
13557,872,0.6400869136395926,0.31188084042385533,0,0.0,1.0,0.23333333333333334,0.4,0.1694915254237288,0.5555555555555556,1,0,0,0,0,1
1934,1160,0.6194835858996726,0.4117363529026017,0,0.0,1.0,0.16666666666666669,0.0,0.847457627118644,0.5555555555555556,1,0,0,1,0,0
