epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,33833.9,0.98253,0.545,1.00037,0.89557,0.91524,0.96101,0.70088,1.04927,0.5425,1.02383,0.000742625,0.000742625,0.000742625
43,34711.2,0.99346,0.53642,1.00301,0.88937,0.9352,0.96889,0.69911,1.06499,0.5314,1.01542,0.00073025,0.00073025,0.00073025
44,35607.1,0.97032,0.5167,0.98654,0.93105,0.89434,0.96581,0.72534,0.99696,0.50804,1.00234,0.000717875,0.000717875,0.000717875
45,36426.5,0.99667,0.55763,0.99775,0.89438,0.91275,0.96403,0.71259,1.01448,0.53663,1.01257,0.0007055,0.0007055,0.0007055
46,37195.5,0.96724,0.51445,0.99001,0.91683,0.90608,0.96435,0.71992,1.01192,0.52398,1.01449,0.000693125,0.000693125,0.000693125
47,37968.8,0.96884,0.5254,0.96852,0.90975,0.91449,0.97011,0.72184,1.03477,0.51603,1.01887,0.00068075,0.00068075,0.00068075
48,38738.6,0.98318,0.55662,0.99905,0.91434,0.90928,0.96895,0.72046,1.03223,0.54305,1.01596,0.000668375,0.000668375,0.000668375
49,39508.7,0.97477,0.55836,0.98355,0.88127,0.92681,0.96797,0.7176,1.00549,0.54564,1.01456,0.000656,0.000656,0.000656
50,40302.8,0.97125,0.52337,1.0056,0.89839,0.9285,0.9665,0.72004,1.00927,0.51609,1.01565,0.000643625,0.000643625,0.000643625
51,41135.8,0.96479,0.51908,0.99131,0.90674,0.92349,0.9707,0.7151,1.03006,0.53025,1.021,0.00063125,0.00063125,0.00063125
52,42076.3,0.9711,0.53922,0.99912,0.89426,0.91996,0.95978,0.70737,1.03774,0.53158,1.01439,0.000618875,0.000618875,0.000618875
53,43247.8,0.97094,0.56275,0.97262,0.92191,0.90721,0.97094,0.72347,1.02141,0.50997,1.01354,0.0006065,0.0006065,0.0006065
54,44080.2,0.96112,0.52025,0.98967,0.89033,0.92316,0.96865,0.71069,1.03185,0.52474,1.01454,0.000594125,0.000594125,0.000594125
55,44852.8,0.95594,0.5013,0.98487,0.90181,0.90176,0.96535,0.71138,1.04276,0.53151,1.01948,0.00058175,0.00058175,0.00058175
56,45742.9,0.93832,0.49161,0.97452,0.92695,0.89221,0.96887,0.72359,1.00262,0.50496,1.00934,0.000569375,0.000569375,0.000569375
